Epoch 27, Client 10, Round 0, Train Loss: 1.357957363128662
Epoch 27, Client 10, Round 0, Test accuracy: 0.8322128032738966
Epoch 27, Client 10, Round 0, Test loss: 1677.9812688827515
Epoch 27, Client 10, Round 1, Train Loss: 0.45742788910865784
Epoch 27, Client 10, Round 1, Test accuracy: 0.8535515931014324
Epoch 27, Client 10, Round 1, Test loss: 1467.850519657135
Epoch 27, Client 10, Round 2, Train Loss: 0.406860888004303
Epoch 27, Client 10, Round 2, Test accuracy: 0.8570593393744519
Epoch 27, Client 10, Round 2, Test loss: 1434.070175409317
Epoch 27, Client 10, Round 3, Train Loss: 0.38059473037719727
Epoch 27, Client 10, Round 3, Test accuracy: 0.8567670271850336
Epoch 27, Client 10, Round 3, Test loss: 1436.1435072422028
Epoch 27, Client 10, Round 4, Train Loss: 0.37006139755249023
Epoch 27, Client 10, Round 4, Test accuracy: 0.8547208418591056
Epoch 27, Client 10, Round 4, Test loss: 1446.6466212272644
Epoch 27, Client 10, Round 5, Train Loss: 0.354108989238739
Epoch 27, Client 10, Round 5, Test accuracy: 0.8558900906167787
Epoch 27, Client 10, Round 5, Test loss: 1443.6297533512115
Epoch 27, Client 10, Round 6, Train Loss: 0.3340253233909607
Epoch 27, Client 10, Round 6, Test accuracy: 0.8561824028061971
Epoch 27, Client 10, Round 6, Test loss: 1448.3756046295166
Epoch 27, Client 10, Round 7, Train Loss: 0.3153979778289795
Epoch 27, Client 10, Round 7, Test accuracy: 0.8576439637532886
Epoch 27, Client 10, Round 7, Test loss: 1448.303873538971
Epoch 27, Client 10, Round 8, Train Loss: 0.29276183247566223
Epoch 27, Client 10, Round 8, Test accuracy: 0.8579362759427068
Epoch 27, Client 10, Round 8, Test loss: 1447.1864852905273
Epoch 27, Client 10, Round 9, Train Loss: 0.26827043294906616
Epoch 27, Client 10, Round 9, Test accuracy: 0.8602747734580533
Epoch 27, Client 10, Round 9, Test loss: 1444.3357882499695
Epoch 27, Client 10, Round 10, Train Loss: 0.24769240617752075
Epoch 27, Client 10, Round 10, Test accuracy: 0.8617363344051447
Epoch 27, Client 10, Round 10, Test loss: 1444.4196655750275
Epoch 27, Client 10, Round 11, Train Loss: 0.23134861886501312
Epoch 27, Client 10, Round 11, Test accuracy: 0.8617363344051447
Epoch 27, Client 10, Round 11, Test loss: 1445.5520083904266
Epoch 27, Client 10, Round 12, Train Loss: 0.21555501222610474
Epoch 27, Client 10, Round 12, Test accuracy: 0.8608593978368898
Epoch 27, Client 10, Round 12, Test loss: 1449.0126881599426
Epoch 27, Client 10, Round 13, Train Loss: 0.20450711250305176
Epoch 27, Client 10, Round 13, Test accuracy: 0.8614440222157264
Epoch 27, Client 10, Round 13, Test loss: 1454.7195279598236
Epoch 27, Client 10, Round 14, Train Loss: 0.1947712004184723
Epoch 27, Client 10, Round 14, Test accuracy: 0.862028646594563
Epoch 27, Client 10, Round 14, Test loss: 1457.6809945106506
Epoch 27, Client 10, Round 15, Train Loss: 0.18150821328163147
Epoch 27, Client 10, Round 15, Test accuracy: 0.8608593978368898
Epoch 27, Client 10, Round 15, Test loss: 1461.8596851825714
Epoch 27, Client 10, Round 16, Train Loss: 0.1750149130821228
Epoch 27, Client 10, Round 16, Test accuracy: 0.862028646594563
Epoch 27, Client 10, Round 16, Test loss: 1464.4420521259308
Epoch 27, Client 10, Round 17, Train Loss: 0.16345523297786713
Epoch 27, Client 10, Round 17, Test accuracy: 0.8623209587839813
Epoch 27, Client 10, Round 17, Test loss: 1471.557323217392
Epoch 27, Client 10, Round 18, Train Loss: 0.15649548172950745
Epoch 27, Client 10, Round 18, Test accuracy: 0.8617363344051447
Epoch 27, Client 10, Round 18, Test loss: 1475.3567779064178
Epoch 27, Client 10, Round 19, Train Loss: 0.15004310011863708
Epoch 27, Client 10, Round 19, Test accuracy: 0.862028646594563
Epoch 27, Client 10, Round 19, Test loss: 1480.1096045970917
Epoch 28, Client 10, Round 0, Train Loss: 2.2482986450195312
Epoch 28, Client 10, Round 0, Test accuracy: 0.19497223034200525
Epoch 28, Client 10, Round 0, Test loss: 6958.425163269043
Epoch 28, Client 10, Round 1, Train Loss: 2.3379600048065186
Epoch 28, Client 10, Round 1, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 1, Test loss: 6902.070995330811
Epoch 28, Client 10, Round 2, Train Loss: 2.4338858127593994
Epoch 28, Client 10, Round 2, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 2, Test loss: 6843.8711585998535
Epoch 28, Client 10, Round 3, Train Loss: 2.4976470470428467
Epoch 28, Client 10, Round 3, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 3, Test loss: 6805.606243133545
Epoch 28, Client 10, Round 4, Train Loss: 2.5342087745666504
Epoch 28, Client 10, Round 4, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 4, Test loss: 6789.407932281494
Epoch 28, Client 10, Round 5, Train Loss: 2.5625271797180176
Epoch 28, Client 10, Round 5, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 5, Test loss: 6750.072235107422
Epoch 28, Client 10, Round 6, Train Loss: 2.5780441761016846
Epoch 28, Client 10, Round 6, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 6, Test loss: 6723.143989562988
Epoch 28, Client 10, Round 7, Train Loss: 2.5857698917388916
Epoch 28, Client 10, Round 7, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 7, Test loss: 6695.51216506958
Epoch 28, Client 10, Round 8, Train Loss: 2.5929458141326904
Epoch 28, Client 10, Round 8, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 8, Test loss: 6659.458213806152
Epoch 28, Client 10, Round 9, Train Loss: 2.5928056240081787
Epoch 28, Client 10, Round 9, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 9, Test loss: 6621.239101409912
Epoch 28, Client 10, Round 10, Train Loss: 2.589862585067749
Epoch 28, Client 10, Round 10, Test accuracy: 0.19467991815258695
Epoch 28, Client 10, Round 10, Test loss: 6578.896133422852
Epoch 28, Client 10, Round 11, Train Loss: 2.58670711517334
Epoch 28, Client 10, Round 11, Test accuracy: 0.19555685472084186
Epoch 28, Client 10, Round 11, Test loss: 6528.721019744873
Epoch 28, Client 10, Round 12, Train Loss: 2.5798842906951904
Epoch 28, Client 10, Round 12, Test accuracy: 0.20198772288804442
Epoch 28, Client 10, Round 12, Test loss: 6475.395881652832
Epoch 28, Client 10, Round 13, Train Loss: 2.567822217941284
